,Title,Authors,referencia,Abstract,Author Keywords,fonte
artivo115,"""Instituicao de ensino superior: analise das capacidades resilientes diante das politicas de acoes afirmativas""","""Albuquerque_ Rosa Almeida Freitas | Pedron_ Cristiane Drebes | Quoniam_ Luc""","""Revista de Gestao e Secretariado, 2019, Vol.10(1), p.47(26) [Periódico revisado por pares]""","""A pesquisa tem natureza qualitativa e exploratoria e foi conduzida a partir de um estudo caso em uma EIS publica brasileira. A coleta de dados deu-se por meio de entrevistas, recolha de dados secundarios e observacao direta. Apesar de os resultados indicarem que as capacidades resilientes de colaboracao, adaptacao, consciencia da situacao e identificacao das vulnerabilidades possam influenciar positivamente na implementacao das PAA em uma IES publica, constatou-se que, na organizacao estudada, e necessario um maior envolvimento dos diferentes stakeholders para se desenvolver a capacidade de colaboracao e identificacao das vulnerabilidades diante da adocao das PAA.""","""Politicas de acoes afirmativas Resiliencia organizacional Instituicoes publicas de ensino superior""","""Cengage Learning"""
artivo116,"""Açôes afirmativas na educação superior: o caso dos Estados Unidos ""","""Jorge Enrique Celis-Giraldo""","""Educación y Educadores, 01 August 2009, Vol.12(2), pp.103-117 [Periódico revisado por pares]""","""Se analiza la importancia y la evolución políticas de las acciones afirmativas en la educación superior en Estados Unidos. Se acoge esta experiencia porque ha influido en algunos países interesados en proporcionar, a los ciudadanos históricamente excluidos, igualdad social de oportunidades en el acceso a la educación superior, con miras a que tengan movilidad social. En primer lugar, se hace una reconstrucción de los principales hitos que influyeron en la concepción de las acciones afirmativas en el contexto laboral y después en el de la educación superior. Ulteriormente se muestran las controversias y decisiones legales que se han adoptado en algunos estados con las acciones afirmativas en educación superior. Por último, los resultados hallados en estudios sobre los desempeños académicos y profesionales de la población que ha sido beneficiada con las acciones afirmativas.Neste artigo se analisam a importância e a evolução políticas das açôes afirmativas na educação superior nos... """,,Directory of Open Access
artivo117,"""Raça, classe e açao afirmativa na trajetória política de militantes negros de esquerda""","""Soares_ Claudete""","""Política & Sociedade, Nov 2012, Vol.11(22), pp.41-74 [Periódico revisado por pares]""","""Passados dez anos da Conferencia Mundial de Combate ao Racismo (2001), e possivel dizer que a sociedade brasileira acomodou-se as experiencias de acoes afirmativas para a populacao negra. No entanto, quando esse debate se iniciou em 2001, permeado por todo o tipo de polemicas, ele era novo tambem para os militantes do movimento social negro. Este artigo vai tratar dos dilemas e desafios que estiveram presentes na conversao da militancia negra de esquerda as propostas de acoes afirmativas. A nossa analise tera como referencia a experiencia da militancia negra com atuacao no Partido dos Trabalhadores que apostou na articulacao entre raca e classe como estrategia de politizacao da questao racial. A adesao desse setor da militancia as politicas de acoes afirmativas para a populacao negra significou o confronto com as concepcoes politicas e ideologicas construidas no campo da esquerda. Adapted from the source document.""",,
artivo118,"""O Princípio da Igualdade e O Direito da Antidiscriminação: Discriminação Direta, Discriminação Indireta e Ações Afirmativas no Direito Constitucional Estadunidense""","""Roger Raupp Rios""","""Ensaio: Avaliação e Políticas Públicas em Educação, 01 September 2014, Vol.22(84), pp.777-806 [Periódico revisado por pares]""","""O presente estudo teve como objetivo avaliar a adequação da Bolsa Permanência concedida pela Universidade Federal do Estado do Rio de Janeiro (UNIRIO) aos estudantes oriundos de segmentos socioeconômicos menos favorecidos, considerando as especificidades da Universidade e dos estudantes contemplados com a referida bolsa. Foi desenvolvido numa abordagem responsiva uma vez que o aprofundamento do conhecimento dos elementos da cultura institucional é essencial para a compreensão da ação avaliada e pretendeu refletir os valores e perspectivas dos estudantes e profissionais envolvidos com a Bolsa Permanência. A coleta de dados foi realizada com a utilização de um questionário e um roteiro de entrevistas. Foram obtidos dados de 71 estudantes bolsistas matriculados em 19 diferentes cursos de Graduação e realizadas duas entrevistas com o Departamento de Assuntos Comunitários e Estudantis (DACE). A análise dos dados foi realizada por meio de estatística descritiva. Foi realizado exame de coerência dos resultados identificando convergências e possíveis divergências entre a visão dos estudantes bolsistas e a visão proposta pela administração da universidade. Os resultados encontrados sinalizam para a possibilidade de a Bolsa Permanência atingir os propósitos para os quais foi criada.""",,
artivo119,"""A política de cotas sociais para o acesso ao ensino superior: o caso das universidades federais mineiras""","""Sabrina Olimpio Caldas de Castro | Fernanda Maria de Almeida | Rafael Morais Pereira | Humberto Rodrigues Marques | José Estevam Chaves Braga""","""Revista Gestão Universitária na América Latina, 01 February 2017, Vol.10(1), pp.256-279 [Periódico revisado por pares]""","""O presente estudo objetivou verificar se há diferença no desempenho acadêmico entre alunos que tiveram e os que não tiveram acesso às Universidades Federais mineiras via política de cotas sociais. Para tanto, considerou-se todos os cursos dessas universidades que realizaram o Exame Nacional... """,,Directory of Open Access
artivo120,"""ESVAZIAMENTO DO SUJEITO PELO DISCURSO: mídia e a prática do esquecimento""","""Zilda Martins Barbosa""","""Revista Observatório, 01 August 2018, Vol.4(5), pp.434-460 [Periódico revisado por pares]""","""Esse trabalho pretende compreender como a mídia esvazia de sentido determinado segmento da sociedade, a exemplo do afrodescendente, historicamente subalternizado e esquecido já no próprio ato da abolição, que foi feita em dois parágrafos. Livre,... """,,Directory of Open Access
artivo121,"""Acesso ao ensino superior brasileiro: perfil dos ingressantes do programa de inclusão da Unicamp""","""André Pires | Bruna Mara Da Silva Wargas""","""Espaço Pedagógico, 01 December 2018, Vol.26(1), pp.158-182 [Periódico revisado por pares]""","""As políticas de acesso ao ensino superior brasileiro nos últimos 15 anos mudaram a composição da população brasileira que acessou às universidades públicas e privadas. O presente artigo analisa o perfil dos ingressantes por meio de um dos programas de acesso no âmbito da Universidade Estadual de Campinas. O acesso à universidade foi modificado com a criação do Programa de Ação Afirmativa e Inclusão Social em 2004, que incentiva o acesso dos estudantes da rede pública de ensino (EP), bem como de estudantes autodeclarados pretos, pardos ou indígenas (PPI), com a adição de pontos à nota dos candidatos no vestibular. O método utilizado se pautou em pesquisa bibliográfica sobre políticas públicas de acesso ao ensino superior, além de analisar os dados do período de 2005 a 2018 disponíveis nas páginas eletrônicas da universidade. Como resultado, observa-se que a política apresenta dois momentos distintos, o primeiro até 2013 com uma modificação tímida na composição dos ingressantes... """,,Directory of Open Access
artivo122,"""Semana da Consciência Negra no IFSP: Práticas e Reflexões""","""Alexandre Da Silva de Paula | Carlos Roberto Waidemam | Eder Aparecido de Carvalho""","""Revista Thema, 01 November 2016, Vol.13(3), pp.130-139 [Periódico revisado por pares]""","""O presente texto tem por finalidade discorrer sobre uma experiência educacional, enquanto ação de extensão, com a organização de duas edições do Evento “Semana da Consciência Negra” no Instituto Federal de Educação, Ciência e Tecnologia de São Paulo (IFSP), Câmpus Votuporanga, realizadas nos... """,,Directory of Open Access
artivo123,"""Pro-Haiti: Riflessioni Su Azione Affermativa per Gli Haitiani in Università Pubbliche Brasiliani""","""Aline Marques Marino""","""Revista Brasileira de Filosofia do Direito, 01 June 2016, Vol.2(1), pp.77-93 [Periódico revisado por pares]""","""Cerca Si analizzerà il programma Pro-Haiti, azione affermativa istituita dal governo brasiliano per facilitare l'ingresso degli haitiani in alcune università pubbliche brasiliane, a seguito del terremoto che ha colpito Haiti nel 2010. La discussione è circa il servizio o no il principio di uguaglianza e di giustizia distributiva. La conclusione è basata sulla necessità che il programma per soddisfare ordine pubblico, al fine di ottenere la cittadinanza. Il soggetto è giustificato dalla corrente e raggiungere l'interesse dei professionisti nei settori del diritto e delle relazioni internazionali. L'utilizzo deve essere, come metodologia, documentari e analisi bibliografica. """,,Directory of Open Access
artivo124,"""Black and african students: individuals present, absent voices""","""Roseane Maria de Amorim | Andréa Giordanna Araujo Da Silva | Fabson Calixto Da Silva | Igor Rafael Bispo Santos""","""Educação: Teoria e Prática, 01 August 2015, Vol.25(49), pp.374-389 [Periódico revisado por pares]""","""This paper aims to describe and analyze some data from an extension project and research titled “The narratives of the self and the effects of affirmative action policies to black students who need of affirmative action and Africans."" We have as central issues of our work the following questions:... """,,Directory of Open Access
artivo125,"""A expansão das fronteiras da educação pública superior: uma análise da experiência da Universidade Federal da Fronteira Sul em Laranjeiras do Sul""","""Mohr_ Naira Estela Roesler | Monteiro_ Felipe Mattos | Costa_ Joaquim Gonçalves | Oliveira_ João Costa de""","""Revista Brasileira de Estudos Pedagógicos, 01 December 2012, Vol.93(235), pp.791-817 [Periódico revisado por pares]""","""Pretende observar o processo de criação e consolidação da Universidade Federal da Fronteira Sul, no campus de Laranjeiras do Sul, Estado do Paraná, que desde sua origem vem propondo dispositivos de combate às desigualdades sociais e regionais. Situa o contexto de construção da Universidade, discorrendo sobre as estratégias utilizadas para garantir as condições de acesso e permanência no ensino superior, especialmente da população proveniente da escola pública. Busca também refletir em que medida as ações afirmativas estão conseguindo se materializar de forma efetiva no interior da instituição, a partir da análise dos dados acadêmicos do primeiro ano letivo. O diálogo resultante desses elementos aponta avanços, limites e muitos desafios, que deverão constar no debate permanente da construção política e pedagógica da Universidade. """,,"""SciELO SciELO"""
